textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,17-FEB-2026 A,Reporte creado el,"martes, 17 de febrero de 2026",Tiempo,9:32:37,Generado por,SANTIAGO\amsmfernandez,Generado en (segundos),93

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
02-ENE-2026 A,PF-07,"28.461,2","0,0","109,8","6,8","46,8","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-21,"17.255,0","0,0","240,4","47,9","66,3","0,0","18,1","0,0","95,1","95,1","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-22,"19.818,2","0,0","24,9","69,2","68,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-23,"10.894,2","0,0","854,4","0,0","235,2","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-24,"15.256,5","0,0","33,3","0,0","68,6","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-25,"34.764,9","0,0","703,0","3,6","427,5","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF-26,"47.349,9","0,0","28,6","15,4","67,8","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF03,"8.364,7","1,1","0,5","0,1","0,0","0,0","10,2","62,6","14,9","14,9","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-07,"28.461,2","0,0","45,4","240,3","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-21,"17.255,0","0,0","276,8","30,2","0,0","0,0","99,2","0,0","75,6","75,6","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-22,"19.818,2","0,0","14,3","44,8","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-23,"10.894,2","0,0","0,0","0,7","0,0","0,0","1.167,7","0,0","0,1","0,1","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-24,"15.256,5","0,0","42,2","52,8","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-25,"34.764,9","0,0","34,0","0,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 B,PF-26,"47.349,9","0,0","41,9","40,6","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","1,1","454,9","409,7","0,0","0,0","1.277,1","62,6","590,5","590,5","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF03,"8.364,7","0,0","0,0","0,0","12,0","0,0","0,0","0,0","100,0","100,0","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF-07,"28.461,2","0,0","75,2","24,0","0,0","0,0","69,8","0,0","58,7","58,7","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF-21,"17.255,0","0,0","107,0","0,0","0,0","0,0","0,0","0,0","100,0","100,0","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF-22,"19.818,2","0,0","53,3","0,8","123,4","0,0","0,0","0,0","100,0","100,0","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF-24,"15.256,5","0,0","92,8","3,5","0,0","0,0","71,8","0,0","57,3","57,3","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-FEB-2026 A,PF-25,"34.764,9","0,0","54,1","235,5","0,0","0,0","38,5","0,0","88,3","88,3","171.270,4","0,0","484,6","304,6","135,4","0,0","289,0","0,0","561,0","561,0","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
